2026-06-15 13:04:54 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:04:54 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:07:58 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:07:58 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:09:56 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:09:56 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:10:43 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:10:43 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:11:15 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:11:15 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:12:30 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:12:30 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:13:11 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:13:11 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:13:14 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:13:14 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:36:56 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:36:56 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:46:49 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:46:49 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:47:31 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:47:31 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:48:32 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:48:32 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:48:50 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:48:50 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:49:02 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:49:02 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:49:11 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:49:11 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:49:20 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:49:20 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
2026-06-15 13:49:24 | INFO     | etl.extract | Extracting raw transactions from /sessions/keen-vigilant-faraday/mnt/Final projects DADS5001 15 June 2026/backend/data/raw/Expenses_clean.csv
2026-06-15 13:49:24 | INFO     | etl.extract | Extracted 938 raw rows, 6 columns
